time;ax;ay;az;aT
2.1960;-0.0018;0.0137;-0.0076;0.016
2.2020;0.0178;0.0273;-0.0738;0.081
2.2060;-0.0148;-0.0018;-0.0540;0.056
2.2200;0.0099;0.0216;-0.0439;0.050
2.2210;0.0011;0.0355;0.0040;0.036
2.2230;0.0019;0.0635;0.0468;0.079
2.2450;-0.0163;0.0536;0.0701;0.090
2.2470;0.0085;0.0058;0.1549;0.155
2.2470;0.0236;-0.0181;0.1822;0.185
2.2480;0.0532;0.0005;0.1951;0.202
2.2480;-0.0123;-0.0000;0.2032;0.204
2.2520;0.0274;-0.0058;0.1878;0.190
2.2570;0.0148;0.0073;0.1298;0.131
2.2630;-0.0403;0.0107;0.0723;0.083
2.2670;-0.0329;0.0473;0.1056;0.120
2.2720;-0.0539;0.0548;0.1245;0.146
2.2790;-0.1316;0.0240;0.1386;0.193
2.2820;-0.1375;-0.0257;0.1479;0.204
2.2870;-0.1672;0.0009;0.0812;0.186
2.2920;-0.1777;0.0130;0.0626;0.189
2.2970;-0.1883;0.0346;0.0441;0.196
2.3020;-0.1894;0.0703;0.0162;0.203
2.3070;-0.1761;0.0917;0.0075;0.199
2.3190;-0.1675;0.0847;-0.0536;0.195
2.3200;-0.1539;0.0731;-0.0620;0.181
2.3220;-0.1686;0.0430;-0.1037;0.203
2.3470;-0.1638;0.0704;-0.0361;0.182
2.3480;-0.1114;0.0314;0.0072;0.116
2.3490;-0.0496;0.0403;0.0214;0.067
2.3490;-0.0356;0.0207;0.1116;0.119
2.3500;-0.0215;0.0296;0.1821;0.186
2.3540;-0.0221;0.0239;0.2046;0.207
2.3580;-0.0561;0.0080;0.2653;0.271
2.3630;-0.0758;0.0155;0.2688;0.280
2.3680;-0.1101;0.0507;0.2347;0.264
2.3730;-0.1066;0.0234;0.2153;0.241
2.3790;-0.0560;0.0386;0.1489;0.164
2.3830;-0.0345;0.0485;0.0737;0.095
2.3880;0.0011;0.0155;0.0229;0.028
2.3950;-0.0159;0.0114;-0.0417;0.046
2.3980;0.0007;0.0216;-0.0916;0.094
2.4030;-0.0207;0.0367;-0.1459;0.152
2.4090;0.0058;0.0235;-0.1809;0.183
2.4130;0.0370;0.0156;-0.1685;0.173
2.4180;-0.0127;0.0223;-0.1847;0.186
2.4230;0.0000;0.0339;-0.1819;0.185
2.4370;-0.0157;-0.0019;-0.1602;0.161
2.4380;-0.0171;-0.0180;-0.1579;0.160
2.4380;-0.0330;0.0088;-0.1794;0.183
2.4640;-0.0060;0.0355;-0.1486;0.153
2.4650;-0.0076;0.0004;-0.1180;0.118
2.4660;-0.0043;-0.0202;-0.1115;0.113
2.4660;0.0371;-0.0452;-0.0861;0.104
2.4660;0.0262;-0.0459;-0.1133;0.125
2.4690;-0.0366;-0.0037;-0.0786;0.087
2.4740;-0.0132;0.0098;-0.0396;0.043
2.4800;-0.0134;-0.0052;-0.0294;0.033
2.4840;-0.0232;-0.0391;-0.0098;0.046
2.4890;-0.0424;-0.0347;0.0144;0.057
2.4960;-0.0423;-0.0731;-0.0091;0.085
2.4990;-0.0280;-0.0495;0.0103;0.058
2.5040;0.0051;-0.0262;0.0392;0.047
2.5200;0.0043;-0.0413;0.0300;0.051
2.5210;-0.0253;-0.0235;0.0067;0.035
2.5210;-0.0263;-0.0487;0.0029;0.055
2.5250;-0.0325;-0.0123;-0.0056;0.035
2.5450;-0.0721;0.0048;-0.0425;0.084
2.5470;-0.1071;-0.0021;-0.0743;0.130
2.5470;-0.0899;0.0054;-0.0441;0.100
2.5470;-0.0973;0.0130;-0.0808;0.127
2.5490;-0.0718;0.0160;-0.1552;0.172
2.5540;-0.0751;0.0100;-0.1866;0.201
2.5590;-0.0547;0.0092;-0.1941;0.202
2.5650;-0.0343;-0.0149;-0.2019;0.205
2.5690;-0.0279;-0.0386;-0.1479;0.155
2.5750;-0.0070;-0.0475;-0.0376;0.061
2.5800;-0.0291;-0.0279;-0.0089;0.041
2.5850;-0.0703;-0.0465;-0.0136;0.085
2.5900;-0.0399;-0.0317;-0.0041;0.051
2.5970;-0.0809;0.0115;-0.0279;0.086
2.6000;-0.0693;0.0115;0.0578;0.091
2.6050;-0.0389;-0.0173;0.0764;0.087
2.6100;-0.0277;-0.0080;0.0570;0.064
2.6200;-0.0169;0.0009;0.0331;0.037
2.6210;-0.0351;0.0145;0.0379;0.054
2.6260;-0.0156;0.0373;0.0190;0.045
2.6440;-0.0105;0.0267;-0.0187;0.034
2.6460;0.0043;-0.0027;-0.0466;0.047
2.6460;0.0003;-0.0130;-0.0648;0.066
2.6480;0.0205;-0.0231;-0.0497;0.058
2.6500;-0.0067;-0.0473;-0.0394;0.062
2.6550;-0.0146;-0.0331;-0.0626;0.072
2.6620;0.0063;0.0049;-0.0524;0.053
2.6660;0.0174;-0.0430;-0.0470;0.066
2.6700;0.0141;-0.0194;-0.0178;0.030
2.6760;-0.0130;-0.0009;-0.0221;0.026
2.6810;-0.0021;-0.0064;-0.0737;0.074
2.6860;-0.0008;-0.0213;-0.0727;0.076
2.6920;0.0050;0.0448;-0.0576;0.073
2.6970;-0.0132;0.0537;-0.0665;0.086
2.7010;-0.0503;0.0485;-0.0231;0.074
2.7060;-0.0065;0.0244;0.0292;0.039
2.7210;-0.0104;-0.0091;0.0243;0.028
2.7220;-0.0570;0.0667;0.0195;0.090
2.7240;-0.0415;0.0325;0.0575;0.078
2.7450;-0.0312;-0.0252;0.0905;0.099
2.7460;-0.0309;-0.0256;0.0901;0.099
2.7470;0.0071;-0.0592;0.1134;0.128
