time;ax;ay;az;aT
2.2890;-0.0478;0.0478;0.2520;0.261
2.2950;-0.0192;0.0897;0.2216;0.240
2.2990;-0.0337;0.1358;0.2296;0.269
2.3040;-0.0527;0.1478;0.2139;0.265
2.3120;-0.0669;0.1498;0.1653;0.233
2.3140;-0.0574;0.1467;0.1601;0.225
2.3200;-0.0293;0.1197;0.0552;0.135
2.3250;-0.0825;0.1259;0.0131;0.151
2.3300;-0.0642;0.0893;-0.0050;0.110
2.3350;-0.0227;0.0719;-0.0798;0.110
2.3400;-0.0148;0.0975;-0.0923;0.135
2.3530;-0.0165;0.0801;-0.0857;0.118
2.3530;0.0153;0.0820;-0.0935;0.125
2.3550;0.0235;0.0981;-0.0917;0.136
2.3730;0.0510;0.0336;-0.0188;0.064
2.3740;0.0024;0.0599;-0.0557;0.082
2.3750;-0.0268;-0.0091;0.0312;0.042
2.3760;-0.0655;-0.0111;0.0793;0.104
2.3810;-0.0472;-0.0036;0.0559;0.073
2.3850;-0.0245;0.0321;0.0280;0.049
2.3910;0.0073;0.0486;-0.0756;0.090
2.3960;-0.0041;0.0508;-0.1167;0.127
2.4010;0.0416;0.0007;-0.2002;0.204
2.4050;0.0398;-0.0250;-0.1739;0.180
2.4140;-0.0139;-0.0266;-0.1763;0.179
2.4160;-0.0335;-0.0473;-0.1360;0.148
2.4210;0.0042;-0.0441;-0.0817;0.093
2.4290;0.0036;-0.0602;-0.0989;0.116
2.4320;0.0079;-0.0668;-0.1018;0.122
2.4360;0.0170;-0.0449;-0.1235;0.133
2.4410;0.0215;-0.0377;-0.0690;0.082
2.4460;0.0358;-0.0261;0.0089;0.045
2.4510;0.0310;-0.0339;0.0531;0.070
2.4560;0.0500;-0.0418;0.0306;0.072
2.4700;0.0164;-0.0497;0.0415;0.067
2.4720;0.0259;-0.0341;-0.0235;0.049
2.4720;0.0592;-0.0374;0.0021;0.070
2.4870;0.0308;-0.0216;0.0418;0.056
2.4880;0.0456;-0.0106;0.0193;0.051
2.4890;0.0033;0.0051;0.0017;0.006
2.4910;-0.0434;0.0020;0.0174;0.047
2.4970;-0.0329;-0.0199;-0.0003;0.038
2.5010;-0.0417;-0.0605;0.0058;0.074
2.5060;0.0016;-0.0246;-0.0025;0.025
2.5120;-0.0269;-0.0031;0.0034;0.027
2.5170;-0.0650;0.0088;0.0092;0.066
2.5230;0.0014;-0.0029;0.0862;0.086
2.5300;0.0103;0.0046;0.1149;0.115
2.5320;0.0191;0.0211;0.1389;0.142
2.5370;0.0088;-0.0340;0.0773;0.085
2.5420;0.0130;-0.0177;0.0353;0.042
2.5530;0.0462;0.0077;0.0033;0.047
2.5540;0.0508;-0.0148;0.0097;0.054
2.5730;0.0365;-0.0418;0.0018;0.056
2.5740;0.0653;-0.0402;-0.0060;0.077
2.5740;0.0416;-0.0480;0.0099;0.064
2.5750;0.0420;-0.0415;-0.0218;0.063
2.5780;0.0519;-0.0349;-0.0153;0.064
2.5820;0.0426;-0.0332;-0.0136;0.056
